0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Mitarbeiter ID,Arbeitsstunden Gesamt,Arbeitsstunden Produktiv 1 (extern),Arbeitsstunden Produktiv 2,Arbeitsstunden Produktiv 3,Arbeitsstunden Ausbildung,Arbeitsstunden Sonstige,Krankheitstage,Urlaubstage,Resturlaub,Körperliche oder geistige Beeinträchtigung,Gehalt,Gehaltsentwicklung (Gehalt T - 1 Jahr),Gehaltsentwicklung (Gehalt T - 2 Jahr),Gehaltsentwicklung (Gehalt T - 3 Jahr),Sonstige Gehaltsbestandteile,Altersvorsorge,Lebensarbeitszeitkonto,Betriebsrente,Vermögenswirksame Leistungen,Inanspruchnahme von Corporate Benefits (Verträge),Angebot an Corporate Benefits (well-being),Angebot an Corporate Benefits (Vergünstigung),Gehaltsmodell (fix/variable Anteile),Gehaltsband / Gehaltsrange (intern),Tarifvertrag,Rolle,Betriebszugehörigkeit,Level,Level histsorisch (Anzahl an Jahren des letzten Wechsels),Berufserfahrung,Abschluss (höchster),Sprachkenntnisse (Anzahl Sprachen ab Level B1),Geografische Mobilität (Umzugsbereitschaft),Hauptfokus,Projekt/Service Erfahrung,Technische Skills,Industrie Expertise,Reisebereitschaft,Zertifizierungen,Zielerreichung,Zielerreichung (T - 1 Jahr),Zielerreichung (T - 2 Jahr),Zielerreichung (T - 3 Jahr),Kalibrierung Performance,Kalibrierung Potenzial,Kalibrierung Fluktuationsrisiko,Kalibrierung Auswirkung Fluktuation,Kalibrierung Grund für Fluktuation,Kalibrierung Neu in der Position/Firma,Kalibrierung Zukünftige Führungskraft,Kalibrierung Nominierung für Beförderung,Kalibrierung Nominierung für Beförderung (T - 1 Jahr),Kalibrierung Nominierung für Beförderung (T - 2 Jahr),Kalibrierung Nominierung für Beförderung (T - 3 Jahr),Feedback des Vorgesetzten,Feedback von Kollegen,Standortzugehörigkeit,Adresse / PLZ,Alter,Kinder,Durchschnittsgehalt Markt,Durchschnittsgehalt nach Bildungsstand,Durchschnittsgehalt nach Berufserfahrung,Durchschnittsgehalt nach Job Profil,Durchschnittsgehalt nach Wohnort,Durchschnittliche Lebenshaltungskosten am Wohnort (QM Mietpreis),Definitionen der Job Level,Qualitative Beurteilung (bspw. Excel)
1,"1,885","1,440","1,772","1,836",104,313,24,39,0,0,"127,209","119,006","82,026","67,374","4,702",,,,,,,,30%,0%,,Project Lead,0,2,5,12,Mittlere Reife,3,,,,,,,,146%,51%,85%,128%,4,1,1,3,Pension,0,0,0,1,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Noch viel Luft nach oben.",Er/Sie leistet solide Arbeit und trägt wesentlich zum Erfolg des Teams bei. Besonders hervorzuheben sind seine/ihre Stärken in der Konfiguration von SAP-Modulen und sein/ihr schnelles Verständnis für technische Herausforderungen. Ein leichtes Ausbaupotenzial besteht in der Kommunikation bei komplexen Projekten. Kommentar: Wird von allen geschätzt. Weiteres: Fehlt es an Eigeninitiative.,Bautzen,,29,0,"92,155","81,145","114,630","52,143","36,768",17,,
2,"1,713",840,"1,002","1,158",86,369,12,33,0,0,"125,011","85,401","73,331","48,284","7,231",,,,,,,,0%,0%,,Sales,8,3,1,2,Abitur,5,,,,,,,,123%,102%,116%,111%,3,2,2,3,Relationship to team/manager,0,0,0,0,0,0,"Sie leisten solide Arbeit und tragen wesentlich zum Erfolg des Teams bei. Ihre Stärken in der Konfiguration von SAP-Modulen und Ihrer Fähigkeit, sich schnell in technische Herausforderungen einzuarbeiten, sind besonders hervorzuheben. Ein leichtes Ausbaupotenzial sehe ich in der Vertiefung Ihrer Kenntnisse im Bereich ABAP-Entwicklung sowie in Ihrer Kommunikationsfähigkeit bei komplexen Projekten. Insgesamt bin ich mit Ihrer Leistung sehr zufrieden. Weiter so! Zusatzkommentar: Bleiben Sie dran!","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Ein Teamplayer. Weiteres: Kann Verantwortung übernehmen.",Bielefeld,,38,3,"42,045","61,694",0,"98,772","88,562",14,,
3,"1,881","1,091","1,538","1,710",82,399,5,41,0,0,"109,817","98,544","74,762","45,262","1,670",,,,,,,,20%,-2%,,Solution Advisor,3,4,4,21,Abitur,4,,,,,,,,109%,103%,155%,83%,2,3,1,1,Career Progression,0,0,0,1,0,0,"Sie leisten solide Arbeit und tragen wesentlich zum Erfolg des Teams bei. Ihre Stärken in der Konfiguration von SAP-Modulen und Ihrer Fähigkeit, sich schnell in technische Herausforderungen einzuarbeiten, sind besonders hervorzuheben. Ein leichtes Ausbaupotenzial sehe ich in der Vertiefung Ihrer Kenntnisse im Bereich ABAP-Entwicklung sowie in Ihrer Kommunikationsfähigkeit bei komplexen Projekten. Insgesamt bin ich mit Ihrer Leistung sehr zufrieden. Weiter so! Zusatzkommentar: Bitte dringend anpassen.",Er/Sie leistet solide Arbeit und trägt wesentlich zum Erfolg des Teams bei. Besonders hervorzuheben sind seine/ihre Stärken in der Konfiguration von SAP-Modulen und sein/ihr schnelles Verständnis für technische Herausforderungen. Ein leichtes Ausbaupotenzial besteht in der Kommunikation bei komplexen Projekten. Kommentar: Sollte dringend an sich arbeiten. Weiteres: Zeigt gute Präsenz in Meetings.,Bautzen,,43,1,"65,220","68,585","66,662","49,693","88,232",16,,
4,"1,776","1,013","1,064","1,186",65,343,60,27,0,0,"148,475","75,242","68,163","58,187","5,656",,,,,,,,30%,0%,,Sales,2,5,7,14,Master,5,,,,,,,,162%,63%,95%,98%,2,2,2,1,Salary/Benfit,1,1,0,0,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Bitte dringend anpassen.","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Gute Ansätze sichtbar. Weiteres: Hat Defizite in der Kommunikation.",Dortmund,,43,1,"33,627","51,805",0,"91,273","88,170",9,,
5,"1,712","2,138","1,938","1,768",102,405,0,31,0,0,"105,842","79,819","56,284","46,201","5,909",,,,,,,,20%,2%,,Internal,12,5,5,21,Hauptschulabschluss,4,,,,,,,,0%,135%,129%,89%,3,1,3,1,Pension,1,0,0,0,0,0,"Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle Ihnen die Motivation und das Verständnis für die Aufgaben. Ich rate Ihnen dringend, an Ihrer Einstellung und Ihren Fähigkeiten zu arbeiten, um Ihren Beitrag zum Team zu verbessern. Andernfalls könnten Konsequenzen folgen. Zusatzkommentar: Exzellent!","Seine/Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle ihm/ihr die Motivation und das Verständnis für die Aufgaben. Er/Sie sollte dringend an seiner/ihrer Einstellung und den Fähigkeiten arbeiten, um die Teamleistung nicht negativ zu beeinflussen. Kommentar: Es gibt noch viel zu tun. Weiteres: Fehlt es an Eigeninitiative.",Bautzen,,36,2,"45,184","60,227","22,627","75,531","83,187",3,,
6,"1,942","1,942","1,428","1,232",90,422,40,25,2,0,"119,887","85,807","70,605","49,722","8,581",,,,,,,,20%,-4%,,Sales,13,5,6,3,Hauptschulabschluss,3,,,,,,,,109%,102%,138%,127%,4,2,2,2,Cultural Fit,0,0,1,0,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Bitte dringend anpassen.","Er/Sie übertrifft regelmäßig die Erwartungen und liefert konstant herausragende Ergebnisse. Seine/Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Er/Sie ist ein Vorbild für das gesamte Team und sollte diesen Einsatz unbedingt beibehalten. Kommentar: Wird von allen geschätzt. Weiteres: Zeigt gute Präsenz in Meetings.",Bautzen,,42,2,"85,391","128,751","49,356","41,903","86,498",6,,
7,"1,886",998,"1,610","1,685",118,333,29,48,2,0,"125,295","95,978","86,353","82,999","1,470",,,,,,,,20%,-2%,,Solution Advisor,10,4,1,24,Bachelor,3,,,,,,,,148%,126%,97%,89%,2,1,2,3,Pension,0,0,0,1,0,0,"Sie übertreffen unsere Erwartungen regelmäßig und liefern konstant herausragende Ergebnisse. Ihre Arbeitsmoral, Expertise und Teamfähigkeit sind beeindruckend. Es gibt nichts, was ich hier anmerken könnte. Bitte behalten Sie diesen außergewöhnlichen Einsatz bei – Sie sind ein Vorbild für das gesamte Team! Zusatzkommentar: Bleiben Sie dran!",Er/Sie leistet solide Arbeit und trägt wesentlich zum Erfolg des Teams bei. Besonders hervorzuheben sind seine/ihre Stärken in der Konfiguration von SAP-Modulen und sein/ihr schnelles Verständnis für technische Herausforderungen. Ein leichtes Ausbaupotenzial besteht in der Kommunikation bei komplexen Projekten. Kommentar: Gute Ansätze sichtbar. Weiteres: Zeigt gute Präsenz in Meetings.,Jena,,57,1,"100,274","61,321","38,110","43,531","77,982",10,,
8,"1,884","1,918","1,915","1,892",83,495,7,25,1,0,"126,626","97,816","85,387","73,427","6,319",,,,,,,,30%,6%,,Project Lead,20,3,5,22,Bachelor,6,,,,,,,,52%,118%,122%,111%,5,2,2,3,Career Progression,0,0,0,0,1,0,"Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine Highlights, die herausstechen. Ich ermutige Sie, sich in Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen stärker einzubringen. Eine verbesserte Fähigkeit, Kundenanforderungen proaktiv zu erkennen und überzeugend zu präsentieren, könnte Ihr Profil zusätzlich schärfen. Zusatzkommentar: Noch viel Luft nach oben.","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Wird von allen geschätzt. Weiteres: Kann Verantwortung übernehmen.",Jena,,50,2,"95,851","31,650","55,335","57,323","45,372",11,,
9,"1,739",864,"1,635","1,667",100,314,67,35,0,0,"194,511","118,802","118,776","58,315","4,452",,,,,,,,20%,-1%,,Team Lead,21,4,8,16,Abitur,6,,,,,,,,41%,77%,100%,82%,4,2,3,3,Career Progression,0,0,0,1,0,0,"Ihre Leistung liegt deutlich unter dem gewünschten Niveau. Es scheint, als fehle Ihnen die Motivation und das Verständnis für die Aufgaben. Ich rate Ihnen dringend, an Ihrer Einstellung und Ihren Fähigkeiten zu arbeiten, um Ihren Beitrag zum Team zu verbessern. Andernfalls könnten Konsequenzen folgen. Zusatzkommentar: Gute Ansätze!","Seine/Ihre Arbeit ist zuverlässig und entspricht den Erwartungen. Es gibt keine größeren Probleme, aber auch keine außergewöhnlichen Highlights. In Bereichen wie der Optimierung von Geschäftsprozessen durch SAP-Lösungen und der Zusammenarbeit mit Fachabteilungen gibt es noch Potenzial zur Weiterentwicklung. Kommentar: Gute Ansätze sichtbar. Weiteres: Fehlt es an Eigeninitiative.",Göttingen,,52,3,"89,047","69,705","77,921","43,155","40,738",8,,
